Month,Hour,Minutes,light_level,RS_outdoor,TM_outdoor,temperature
3,23,30,0.0,0,7.9,22.5
3,23,40,0.0,0,7.9,22.5
3,23,50,0.0,0,7.3,22.5
3,0,0,0.0,0,7.3,22.4
3,0,10,0.0,0,7.3,22.4
3,0,20,0.0,0,7.1,22.4
3,0,30,0.0,0,7.1,22.3
3,0,40,0.0,0,7.1,22.3
3,0,50,0.0,0,7.4,22.3
3,1,0,0.0,0,7.4,22.2
3,1,10,0.0,0,7.4,22.2
3,1,20,0.0,0,7.7,22.2
3,1,30,0.0,0,7.7,22.2
3,1,40,0.0,0,7.7,22.1
3,1,50,0.0,0,7.3,22.1
3,2,0,0.0,0,7.3,22.1
3,2,10,0.0,0,7.3,22.0
3,2,20,0.0,0,7.1,22.0
3,2,30,0.0,0,7.1,22.0
3,2,40,0.0,0,7.1,22.0
3,2,50,0.0,0,6.9,22.0
3,3,0,0.0,0,6.9,21.9
3,3,10,0.0,0,6.9,21.9
3,3,30,0.0,0,6.7,21.9
3,3,40,0.0,0,6.7,21.9
3,3,50,0.0,0,6.4,21.8
3,4,0,0.0,0,6.4,21.8
3,4,10,0.0,0,6.4,21.8
3,4,20,0.0,0,6.3,21.7
3,4,30,0.0,0,6.3,21.7
3,4,40,0.0,0,6.3,21.7
3,4,50,0.0,0,6.2,21.7
3,5,0,0.0,0,6.2,21.6
3,5,10,0.0,0,6.2,21.6
3,5,20,0.0,0,5.8,21.6
3,5,30,0.0,0,5.8,21.6
3,5,40,0.0,0,5.8,21.6
3,5,50,0.0,10,5.4,21.6
3,6,0,0.0,10,5.4,21.6
3,6,10,0.0,10,5.4,21.6
3,6,20,0.0,32,6.0,21.6
3,6,30,0.0,32,6.0,21.6
3,6,40,0.0,32,6.0,21.6
3,6,50,0.0,129,7.3,21.6
3,7,0,0.0,129,7.3,21.7
3,7,10,0.0,129,7.3,21.7
3,7,20,0.0,207,8.2,21.8
3,7,30,0.0,207,8.2,21.8
3,7,40,0.0,207,8.2,21.9
3,7,50,0.0,236,8.8,22.0
3,8,0,0.0,236,8.8,22.0
3,8,10,0.0,236,8.8,22.1
3,8,20,0.0,455,9.9,22.1
3,8,30,0.0,455,9.9,22.2
3,8,40,0.0,455,9.9,22.2
3,8,50,0.0,531,11.2,22.3
3,9,0,0.0,531,11.2,22.3
3,9,10,0.0,531,11.2,22.3
3,9,20,0.0,595,12.9,22.3
3,9,30,0.0,595,12.9,22.4
3,9,40,1.0,595,12.9,22.4
3,9,50,1.0,666,14.5,22.4
3,10,0,0.0,666,14.5,22.4
3,10,10,0.0,666,14.5,22.5
3,10,20,0.0,713,16.0,22.6
3,10,30,0.0,713,16.0,22.7
3,10,40,0.0,713,16.0,22.8
3,10,50,0.0,745,17.3,22.9
3,11,0,0.0,745,17.3,22.9
3,11,10,0.0,745,17.3,23.1
3,11,20,0.0,765,18.6,23.1
3,11,30,0.0,765,18.6,23.3
3,11,50,0.0,759,18.8,23.4
3,12,0,0.0,759,18.8,23.5
3,12,10,1.0,759,18.8,23.6
3,12,20,1.0,739,19.1,23.7
3,12,30,1.0,739,19.1,23.7
3,12,40,1.0,739,19.1,23.8
3,12,50,1.0,723,19.2,23.9
3,13,0,1.0,723,19.2,23.8
3,13,10,1.0,723,19.2,23.9
3,13,20,1.0,679,19.1,23.9
3,13,30,1.0,679,19.1,23.9
3,13,40,1.0,679,19.1,23.8
3,13,50,1.0,616,18.9,24.0
3,14,0,1.0,616,18.9,24.1
3,14,10,1.0,616,18.9,24.1
3,14,20,1.0,543,18.9,24.2
3,14,30,1.0,543,18.9,24.2
3,14,40,1.0,543,18.9,24.3
3,14,50,1.0,451,18.8,24.4
3,15,0,1.0,451,18.8,24.4
3,15,10,1.0,451,18.8,24.4
3,15,20,1.0,361,18.4,24.5
3,15,30,1.0,361,18.4,24.6
3,15,40,1.0,361,18.4,24.6
3,15,50,1.0,256,17.8,24.8
3,16,0,1.0,256,17.8,24.8
3,16,10,0.0,256,17.8,24.9
3,16,20,0.0,157,17.0,25.0
3,16,30,0.0,157,17.0,25.1
3,16,40,0.0,157,17.0,25.1
3,16,50,0.0,80,16.3,25.1
3,17,0,0.0,80,16.3,25.1
3,17,10,0.0,80,16.3,25.1
3,17,20,0.0,12,15.5,25.0
3,17,30,0.0,12,15.5,24.9
3,17,40,0.0,12,15.5,25.0
3,17,50,0.0,0,14.5,24.8
3,18,0,1.0,0,14.5,24.8
3,18,10,1.0,0,14.5,24.8
3,18,20,1.0,0,13.8,24.8
3,18,30,1.0,0,13.8,24.8
3,18,40,1.0,0,13.8,24.8
3,18,50,1.0,0,13.3,24.8
3,19,0,1.0,0,13.3,24.8
3,19,10,1.0,0,13.3,24.8
3,19,30,1.0,0,12.7,24.9
3,19,40,1.0,0,12.7,24.8
3,16,20,1.0,117,18.2,25.5
3,16,20,0.0,117,18.2,25.5
3,16,30,1.0,117,18.2,25.6
3,16,40,1.0,117,18.2,25.7
3,16,50,1.0,80,17.4,25.8
3,17,0,1.0,80,17.4,25.9
3,17,10,1.0,80,17.4,26.0
3,17,20,1.0,13,15.9,26.0
3,17,30,1.0,13,15.9,26.0
3,17,40,1.0,13,15.9,26.0
3,17,50,1.0,0,14.7,26.0
3,18,0,1.0,0,14.7,26.0
3,18,10,1.0,0,14.7,25.9
3,18,20,1.0,0,14.5,25.9
3,18,30,1.0,0,14.5,25.8
3,18,40,1.0,0,14.5,25.9
3,18,50,1.0,0,13.7,25.8
3,19,0,1.0,0,13.7,25.8
3,19,10,1.0,0,13.7,25.7
3,19,20,1.0,0,13.3,25.7
3,19,30,1.0,0,13.3,25.7
3,19,40,0.0,0,13.3,25.7
3,19,50,0.0,0,13.2,25.5
3,20,0,0.0,0,13.2,25.4
3,20,10,0.0,0,13.2,25.3
3,20,20,0.0,0,12.9,25.1
3,20,30,0.0,0,12.9,25.0
3,20,40,0.0,0,12.9,24.9
3,20,50,0.0,0,12.5,24.8
3,21,0,0.0,0,12.5,24.7
3,21,10,0.0,0,12.5,24.6
3,21,20,0.0,0,12.8,24.6
3,21,30,0.0,0,12.8,24.5
3,21,40,0.0,0,12.8,24.4
3,21,50,0.0,0,12.6,24.4
3,22,0,0.0,0,12.6,24.3
3,22,10,0.0,0,12.6,24.2
3,22,20,0.0,0,12.1,24.2
3,22,30,0.0,0,12.1,24.1
3,22,40,0.0,0,12.1,24.1
3,22,50,0.0,0,12.1,24.0
3,23,0,0.0,0,12.1,24.0
3,23,10,0.0,0,12.1,23.9
3,23,20,0.0,0,11.8,23.9
3,23,30,0.0,0,11.8,23.9
3,23,40,0.0,0,11.8,23.9
3,23,50,0.0,0,11.3,23.8
3,0,0,0.0,0,11.3,23.8
3,0,10,0.0,0,11.3,23.7
3,0,20,0.0,0,11.0,23.7
3,0,30,0.0,0,11.0,23.7
3,0,40,0.0,0,11.0,23.7
3,0,50,0.0,0,10.5,23.7
3,1,0,0.0,0,10.5,23.6
3,1,10,0.0,0,10.5,23.6
3,1,20,0.0,0,10.1,23.6
3,1,30,0.0,0,10.1,23.6
3,1,40,0.0,0,10.1,23.5
3,1,50,0.0,0,9.9,23.5
3,2,0,0.0,0,9.9,23.5
3,2,10,0.0,0,9.9,23.4
3,2,20,0.0,0,9.8,23.4
3,2,30,0.0,0,9.8,23.4
3,2,40,0.0,0,9.8,23.4
3,2,50,0.0,0,9.6,23.4
3,3,0,0.0,0,9.6,23.3
3,3,10,0.0,0,9.6,23.3
3,3,20,0.0,0,9.3,23.3
3,3,30,0.0,0,9.3,23.3
3,3,40,0.0,0,9.3,23.2
3,3,50,0.0,0,9.3,23.2
3,4,0,0.0,0,9.3,23.2
3,4,10,0.0,0,9.3,23.2
3,4,20,0.0,0,8.8,23.2
3,4,30,0.0,0,8.8,23.1
3,4,40,0.0,0,8.8,23.1
3,4,50,0.0,0,8.5,23.1
3,5,0,0.0,0,8.5,23.1
3,5,10,0.0,0,8.5,23.0
3,5,20,0.0,0,8.9,23.0
3,5,30,0.0,0,8.9,23.0
3,5,40,0.0,0,8.9,23.0
3,5,50,0.0,15,8.6,23.0
3,6,0,0.0,15,8.6,22.9
3,6,10,0.0,15,8.6,22.9
3,6,20,0.0,47,8.9,22.9
3,6,30,0.0,47,8.9,22.9
3,6,40,0.0,47,8.9,22.9
3,6,50,0.0,154,10.0,22.9
3,7,0,0.0,154,10.0,23.0
3,7,10,0.0,154,10.0,23.0
3,7,20,0.0,242,11.4,23.1
3,7,30,0.0,242,11.4,23.1
3,7,40,0.0,242,11.4,23.2
3,7,50,0.0,345,13.4,23.2
3,8,0,0.0,345,13.4,23.3
3,8,10,0.0,345,13.4,23.3
3,8,20,0.0,449,14.8,23.4
3,8,30,0.0,449,14.8,23.4
3,20,50,0.0,0,12.1,23.9
3,20,50,0.0,0,12.1,23.9
3,21,0,0.0,0,12.1,23.9
3,21,10,0.0,0,12.1,23.8
3,21,20,0.0,0,11.6,23.8
3,21,30,0.0,0,11.6,23.8
3,21,40,0.0,0,11.6,23.7
3,21,50,0.0,0,11.6,23.7
3,22,0,0.0,0,11.6,23.7
3,22,10,0.0,0,11.6,23.7
3,22,20,0.0,0,11.0,23.6
3,22,30,0.0,0,11.0,23.6
3,22,40,0.0,0,11.0,23.6
3,22,50,0.0,0,11.2,23.5
3,23,0,0.0,0,11.2,23.6
3,23,10,0.0,0,11.2,23.5
3,23,20,0.0,0,11.5,23.5
3,23,30,0.0,0,11.5,23.5
3,23,40,0.0,0,11.5,23.5
3,23,50,0.0,0,11.7,23.4
3,0,0,0.0,0,11.7,23.4
3,0,10,0.0,0,11.7,23.4
3,0,20,0.0,0,12.0,23.4
3,0,30,0.0,0,12.0,23.4
3,0,40,0.0,0,12.0,23.4
3,0,50,0.0,0,11.8,23.3
3,1,0,0.0,0,11.8,23.3
3,1,10,0.0,0,11.8,23.3
3,1,20,0.0,0,11.6,23.3
3,1,30,0.0,0,11.6,23.3
3,1,40,0.0,0,11.6,23.2
3,1,50,0.0,0,11.5,23.2
3,2,0,0.0,0,11.5,23.2
3,2,10,0.0,0,11.5,23.2
3,2,20,0.0,0,11.3,23.2
3,2,30,0.0,0,11.3,23.2
3,2,40,0.0,0,11.3,23.2
3,2,50,0.0,0,11.4,23.1
3,3,0,0.0,0,11.4,23.1
3,3,10,0.0,0,11.4,23.1
3,3,20,0.0,0,11.2,23.1
3,3,30,0.0,0,11.2,23.1
3,3,40,0.0,0,11.2,23.0
3,3,50,0.0,0,11.4,23.0
3,4,0,0.0,0,11.4,23.0
3,4,10,0.0,0,11.4,23.0
3,4,20,0.0,0,11.3,23.0
3,4,30,0.0,0,11.3,23.0
3,4,40,0.0,0,11.3,23.0
3,4,50,0.0,0,11.5,23.0
3,5,0,0.0,0,11.5,23.0
3,5,10,0.0,0,11.5,22.9
3,5,20,0.0,0,11.1,22.9
3,5,30,0.0,0,11.1,22.9
3,5,40,0.0,0,11.1,22.9
3,5,40,0.0,0,11.1,22.9
3,5,50,0.0,11,11.2,22.9
3,6,0,0.0,11,11.2,22.9
3,6,10,0.0,11,11.2,22.9
3,6,20,0.0,50,11.4,22.9
3,6,30,0.0,50,11.4,22.9
3,6,40,0.0,50,11.4,22.9
3,6,50,0.0,150,11.8,22.8
3,7,0,0.0,150,11.8,22.8
3,7,10,0.0,150,11.8,22.8
3,7,20,0.0,318,13.2,22.8
3,7,30,0.0,318,13.2,22.8
3,7,40,0.0,318,13.2,22.9
3,7,50,0.0,422,14.9,22.9
3,8,0,0.0,422,14.9,22.9
3,8,10,0.0,422,14.9,23.0
3,8,20,0.0,463,16.1,23.0
3,8,30,0.0,463,16.1,23.0
3,8,40,0.0,463,16.1,23.1
3,8,50,0.0,560,18.0,23.1
3,9,0,0.0,560,18.0,23.2
3,9,10,0.0,560,18.0,23.2
3,9,20,0.0,593,19.1,23.2
3,9,30,0.0,593,19.1,23.2
3,9,40,0.0,593,19.1,23.2
3,9,50,0.0,636,20.1,23.3
3,10,0,0.0,636,20.1,23.3
3,10,10,0.0,636,20.1,23.3
3,10,20,0.0,722,21.4,23.4
3,10,30,0.0,722,21.4,23.4
3,10,40,0.0,722,21.4,23.4
3,10,50,0.0,733,22.8,23.5
3,11,0,0.0,733,22.8,23.5
3,11,10,0.0,733,22.8,23.5
3,11,20,0.0,754,23.4,23.6
3,11,30,0.0,754,23.4,23.6
3,11,40,1.0,754,23.4,23.7
3,11,50,1.0,769,24.2,23.7
3,12,0,0.0,769,24.2,23.8
3,12,10,1.0,769,24.2,23.8
3,12,20,1.0,746,24.8,23.8
3,12,30,1.0,746,24.8,23.9
3,12,40,1.0,746,24.8,23.9
3,12,50,1.0,671,25.1,24.0
3,13,0,1.0,671,25.1,24.0
3,13,10,1.0,671,25.1,24.0
3,13,20,0.0,640,25.1,24.1
3,13,30,1.0,640,25.1,24.1
3,13,40,0.0,640,25.1,24.2
3,13,50,0.0,589,25.0,24.2
3,14,0,1.0,589,25.0,24.2
3,14,10,1.0,589,25.0,24.2
3,14,20,0.0,557,24.3,24.3
3,14,30,0.0,557,24.3,24.3
3,14,40,0.0,557,24.3,24.3
3,14,50,0.0,422,22.9,24.4
