Fecha,Hora,TM,HRM%,PPT,RS
01-08-2023,16:00 - 16:30,30.4,54,0.0,456
01-08-2023,16:30 - 17:00,29.3,61,0.0,358
01-08-2023,17:00 - 17:30,28.4,62,0.0,275
01-08-2023,17:30 - 18:00,27.3,67,0.0,187
01-08-2023,18:00 - 18:30,26.1,74,0.0,81
01-08-2023,18:30 - 19:00,25.3,78,0.0,24
01-08-2023,19:00 - 19:30,24.8,81,0.0,1
01-08-2023,19:30 - 20:00,24.5,83,0.0,0
01-08-2023,20:00 - 20:30,24.4,84,0.0,0
01-08-2023,20:30 - 21:00,24.3,83,0.0,0
01-08-2023,21:00 - 21:30,24.1,84,0.0,0
01-08-2023,21:30 - 22:00,23.9,85,0.0,0
01-08-2023,22:00 - 22:30,23.6,86,0.0,0
01-08-2023,22:30 - 23:00,23.8,85,0.0,0
01-08-2023,23:00 - 23:30,23.9,84,0.0,0
01-08-2023,23:30 - 00:00,24.0,83,0.0,0
02-08-2023,00:00 - 00:30,24.0,82,0.0,0
02-08-2023,00:30 - 01:00,24.1,81,0.0,0
02-08-2023,01:00 - 01:30,23.7,83,0.0,0
02-08-2023,01:30 - 02:00,23.2,85,0.0,0
02-08-2023,02:00 - 02:30,23.0,85,0.0,0
02-08-2023,02:30 - 03:00,22.7,86,0.0,0
02-08-2023,03:00 - 03:30,22.5,88,0.0,0
02-08-2023,03:30 - 04:00,22.2,89,0.0,0
02-08-2023,04:00 - 04:30,22.1,90,0.0,0
02-08-2023,04:30 - 05:00,21.8,91,0.0,2
02-08-2023,05:00 - 05:30,22.0,90,0.0,22
02-08-2023,05:30 - 06:00,22.5,87,0.0,43
02-08-2023,06:00 - 06:30,23.2,84,0.0,160
02-08-2023,06:30 - 07:00,24.3,80,0.0,271
02-08-2023,07:00 - 07:30,25.8,74,0.0,365
02-08-2023,07:30 - 08:00,27.1,70,0.0,461
02-08-2023,08:00 - 08:30,27.9,68,0.0,554
02-08-2023,08:30 - 09:00,28.7,64,0.0,631
02-08-2023,09:00 - 09:30,29.8,58,0.0,705
02-08-2023,09:30 - 10:00,30.9,53,0.0,767
